customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_tickets,late_payments,satisfaction_score,churn
CUST-00025,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.6,444.54,6,2,3.7,Yes
CUST-00026,Female,0,No,No,63,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),41.41,2507.17,1,0,4.9,No
CUST-00027,Male,0,No,Yes,63,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,101.53,5964.58,1,3,4.5,No
CUST-00028,Female,1,No,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.3,1491.22,1,1,4.7,No
CUST-00029,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,106.35,3977.18,2,3,3.5,No
CUST-00030,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,77.89,4601.81,3,2,3.9,No
CUST-00031,Male,0,Yes,No,35,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,52.24,1722.34,2,0,5.0,No
CUST-00032,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,94.17,2162.2,2,0,5.0,No
CUST-00033,Male,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),38.53,213.6,1,0,4.8,No
CUST-00034,Female,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),35.13,1134.33,2,0,4.8,No
CUST-00035,Female,1,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,105.59,2223.31,4,4,2.6,Yes
CUST-00036,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),78.54,4975.47,4,0,4.7,No
CUST-00037,Female,0,No,No,63,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,54.37,3530.73,1,3,4.7,No
CUST-00038,Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.58,826.23,5,0,4.7,No
CUST-00039,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.56,1300.06,3,1,5.0,No
CUST-00040,Female,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,72.87,1542.11,0,1,5.0,No
CUST-00041,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.0,3460.7,4,0,3.9,No
CUST-00042,Female,1,Yes,No,49,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),73.25,3752.7,6,2,4.6,No
CUST-00043,Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,184.13,1,0,5.0,No
CUST-00044,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,35.13,2331.03,0,0,4.9,No
CUST-00045,Male,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,37.01,1769.86,0,1,5.0,No
CUST-00046,Female,1,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.92,408.2,0,0,5.0,No
CUST-00047,Male,0,Yes,Yes,23,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),120.0,2610.38,1,1,5.0,No
CUST-00048,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.25,1868.19,0,0,5.0,No
CUST-00049,Female,1,No,No,37,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,69.77,2594.95,4,1,4.1,No
CUST-00050,Female,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),91.99,3746.6,1,1,4.5,Yes
CUST-00051,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,87.64,256.0,0,0,5.0,Yes
CUST-00052,Male,0,No,No,30,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,107.53,3140.82,6,0,3.9,No
CUST-00053,Male,0,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),74.27,3580.99,1,0,5.0,No
CUST-00054,Male,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,95.35,5291.42,2,1,4.7,No
CUST-00055,Male,0,No,No,33,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),115.79,3550.4,0,0,5.0,Yes
CUST-00056,Male,0,No,No,40,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,68.11,2744.43,1,2,4.6,No
CUST-00057,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),75.3,1128.59,0,1,5.0,No
CUST-00058,Male,0,No,No,58,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),37.68,2298.89,1,0,5.0,No
CUST-00059,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,115.32,6057.34,6,3,4.0,Yes
CUST-00060,Female,0,No,Yes,54,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,58.73,3191.37,2,1,4.9,No
CUST-00061,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,93.23,4799.91,5,0,4.8,No
CUST-00062,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,45.02,3046.49,0,1,4.9,No
CUST-00063,Male,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,37.56,2440.11,1,0,4.5,No
CUST-00064,Female,1,No,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,89.13,5056.49,0,0,5.0,No
CUST-00065,Male,0,Yes,No,25,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),75.28,1782.0,1,0,4.4,No
CUST-00066,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,73.98,344.01,5,2,4.2,Yes
CUST-00067,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),103.06,111.13,1,0,5.0,No
CUST-00068,Male,0,No,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,60.27,3225.39,2,0,4.7,No
CUST-00069,Male,0,No,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.49,1254.91,1,2,5.0,No
CUST-00070,Male,0,Yes,No,47,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,49.35,2391.42,3,0,4.7,No
CUST-00071,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.1,3984.92,4,0,4.2,No
CUST-00072,Male,1,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,95.72,659.46,2,1,4.0,No
CUST-00073,Male,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.47,1555.66,1,4,4.5,No
CUST-00074,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.09,1509.35,3,0,4.3,No
CUST-00075,Female,1,No,No,12,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,79.17,888.17,0,1,5.0,No
CUST-00076,Male,1,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,103.72,5279.81,3,2,4.0,No
CUST-00077,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.43,972.93,4,1,4.0,No
CUST-00078,Male,0,No,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,113.79,1702.39,4,0,4.7,No
CUST-00079,Female,0,Yes,No,51,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),56.75,2728.96,1,1,4.5,No
CUST-00080,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,100.18,3226.54,2,2,4.6,Yes
CUST-00081,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.58,,1,2,4.6,No
CUST-00082,Male,0,Yes,No,40,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.58,2311.37,0,2,5.0,No
CUST-00083,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,115.97,5020.65,5,1,3.5,No
CUST-00084,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,106.05,3205.75,2,2,4.0,No
CUST-00085,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.1,5675.24,2,0,5.0,No
CUST-00086,Female,0,Yes,No,64,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.68,3542.55,1,1,4.4,No
CUST-00087,Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,56.82,1885.56,1,0,5.0,No
CUST-00088,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.91,1054.84,4,3,4.0,Yes
CUST-00089,Female,0,No,Yes,21,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.24,1178.8,2,3,4.3,Yes
CUST-00090,Female,1,Yes,No,56,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,75.62,4437.79,1,0,4.8,No
CUST-00091,Male,1,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),104.93,2106.47,6,1,3.8,Yes
CUST-00092,Female,1,No,No,57,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,51.4,3092.06,1,0,5.0,No
CUST-00093,Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.82,4659.31,2,2,3.5,No
CUST-00094,Male,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.87,939.27,1,0,4.4,No
CUST-00095,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,76.1,746.61,2,0,5.0,Yes
CUST-00096,Male,0,No,No,39,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),42.82,1723.64,0,0,4.9,No
CUST-00097,Male,0,Yes,No,50,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.03,3232.43,0,0,5.0,No
CUST-00098,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.02,975.71,2,2,3.9,No
CUST-00099,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),106.35,6008.8,6,2,2.5,No
CUST-00100,Male,0,No,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.9,632.3,1,1,4.2,No
CUST-00101,Female,1,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,72.23,2046.94,2,2,4.7,No
CUST-00102,Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),94.81,3978.51,1,1,4.2,No
CUST-00103,Female,1,No,No,54,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,76.51,4298.47,2,2,4.5,No
CUST-00104,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),75.7,1289.32,4,0,4.4,No
CUST-00105,Female,0,No,No,25,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.52,1324.76,2,2,4.0,No
CUST-00106,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.38,5593.31,5,1,4.4,No
CUST-00107,Female,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),61.54,1528.19,0,1,4.3,No
CUST-00108,Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,91.65,4019.2,5,3,3.6,No
CUST-00109,Male,0,No,No,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,107.75,3278.63,3,3,4.7,Yes
CUST-00110,Female,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.69,190.01,1,1,4.7,Yes
CUST-00111,Male,0,No,Yes,38,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),43.77,1694.59,0,2,4.9,No
CUST-00112,Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.24,1246.47,2,0,4.7,No
CUST-00113,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,111.47,2064.24,3,1,4.3,No
CUST-00114,Male,0,Yes,No,62,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.66,4864.69,6,2,4.2,No
CUST-00115,Female,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),84.22,4738.58,0,1,3.5,No
CUST-00116,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.26,741.21,1,0,4.5,No
CUST-00117,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.31,2741.33,1,2,4.5,Yes
CUST-00118,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),40.96,2060.64,1,2,4.8,No
CUST-00119,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,101.68,381.66,4,0,3.9,No
CUST-00120,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.93,257.34,1,1,5.0,Yes
CUST-00121,Male,0,No,Yes,39,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,104.39,3864.93,3,1,4.3,No
CUST-00122,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.59,2430.07,5,1,4.0,No
CUST-00123,Female,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.2,1963.12,2,0,5.0,No
CUST-00124,Male,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,68.87,,0,0,5.0,No
CUST-00125,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,50.1,2637.37,1,2,4.5,No
CUST-00126,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.64,3865.14,4,2,4.3,No
CUST-00127,Male,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,86.03,6070.64,1,2,4.2,No
CUST-00128,Female,0,No,Yes,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,120.0,5276.88,4,0,4.5,No
CUST-00129,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.41,3005.44,3,0,5.0,No
CUST-00130,Female,1,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,70.35,1945.76,2,1,5.0,No
CUST-00131,Female,0,Yes,No,68,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),35.08,2240.92,1,0,4.0,No
CUST-00132,Female,1,No,Yes,53,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.2,5881.1,6,3,3.7,No
CUST-00133,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.56,4985.52,3,0,4.0,No
CUST-00134,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.95,180.71,3,0,4.0,No
CUST-00135,Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),95.61,5318.84,2,0,5.0,No
CUST-00136,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,120.0,1352.65,5,1,4.3,Yes
CUST-00137,Female,1,No,Yes,68,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),77.68,5449.45,1,1,4.1,No
CUST-00138,Male,0,No,Yes,14,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.37,1127.89,1,0,5.0,No
CUST-00139,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,1109.28,2,0,5.0,No
CUST-00140,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.08,2417.93,3,2,3.8,No
CUST-00141,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,88.27,2391.0,2,1,5.0,No
CUST-00142,Male,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.87,2327.87,2,0,4.8,No
CUST-00143,Male,1,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,109.49,2859.71,2,1,4.4,Yes
CUST-00144,Male,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.01,425.68,2,2,5.0,No
CUST-00145,Female,0,Yes,No,6,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,72.79,447.89,0,0,5.0,Yes
CUST-00146,Female,0,No,Yes,62,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),77.39,4786.32,1,0,4.7,No
CUST-00147,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,120.0,3340.27,1,0,4.8,No
CUST-00148,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.0,1052.54,1,2,4.2,No
CUST-00149,Female,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,96.38,189.09,4,1,3.8,Yes
CUST-00150,Male,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),55.15,310.31,2,0,5.0,No
CUST-00151,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,47.25,3468.82,3,2,4.4,Yes
CUST-00152,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.24,321.04,3,1,5.0,No
CUST-00153,Female,0,No,No,50,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,107.89,5780.31,4,0,4.1,No
CUST-00154,Male,0,No,Yes,26,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),62.69,1698.92,1,1,5.0,No
CUST-00155,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,120.0,4774.41,1,3,3.7,Yes
CUST-00156,Female,0,No,No,9,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,45.07,387.96,2,0,4.8,Yes
CUST-00157,Male,0,Yes,No,20,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),71.07,1464.37,0,0,5.0,No
CUST-00158,Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,951.6,1,5,4.0,Yes
CUST-00159,Female,1,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,82.38,3042.26,1,3,4.3,No
CUST-00160,Female,0,Yes,Yes,37,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,75.71,2805.33,2,1,4.1,No
